Timestamp,Color Name,Confidence Score
2025-03-17 12:45:20,Ruddy,0.87
2025-03-17 12:45:20,Ruddy,0.85
2025-03-17 12:45:20,Ruddy,0.86
2025-03-17 12:45:20,Ruddy,0.87
2025-03-17 12:45:20,Ruddy,0.85
2025-03-17 12:45:20,Candy Apple Red,0.85
2025-03-17 12:45:20,Ruddy,0.86
2025-03-17 12:45:20,Red,0.85
2025-03-17 12:45:20,Candy Apple Red,0.86
2025-03-17 12:45:20,Red,0.85
2025-03-17 12:45:20,Red,0.85
2025-03-17 12:45:20,Ku Crimson,0.87
2025-03-17 12:45:20,Ku Crimson,0.88
2025-03-17 12:45:20,Ku Crimson,0.88
2025-03-17 12:45:20,Candy Apple Red,0.86
2025-03-17 12:45:20,Ku Crimson,0.88
2025-03-17 12:45:20,Ku Crimson,0.91
2025-03-17 12:45:20,Ku Crimson,0.92
2025-03-17 12:45:20,Ku Crimson,0.92
2025-03-17 12:45:21,Ku Crimson,0.88
2025-03-17 12:45:21,Ku Crimson,0.87
2025-03-17 12:45:21,Ku Crimson,0.86
2025-03-17 12:45:21,Ku Crimson,0.83
2025-03-17 12:45:21,Ku Crimson,0.84
2025-03-17 12:45:21,Harvard Crimson,0.86
2025-03-17 12:45:21,Ku Crimson,0.87
2025-03-17 12:45:21,Ku Crimson,0.90
2025-03-17 12:45:21,Ku Crimson,0.89
2025-03-17 12:45:21,Ku Crimson,0.87
2025-03-17 12:45:21,Ku Crimson,0.88
2025-03-17 12:45:21,Ku Crimson,0.88
2025-03-17 12:45:21,Ku Crimson,0.87
2025-03-17 12:45:21,Ku Crimson,0.89
2025-03-17 12:45:21,Ku Crimson,0.85
2025-03-17 12:45:21,Ku Crimson,0.86
2025-03-17 12:45:21,Ku Crimson,0.82
2025-03-17 12:45:21,Candy Apple Red,0.84
2025-03-17 12:45:21,Ku Crimson,0.82
2025-03-17 12:45:21,Ku Crimson,0.82
2025-03-17 12:45:21,Red (Ryb),0.81
2025-03-17 12:45:21,Ruddy,0.83
2025-03-17 12:45:21,Ruddy,0.82
2025-03-17 12:45:21,Red (Ryb),0.81
2025-03-17 12:45:21,Red (Ryb),0.81
2025-03-17 12:45:21,Red (Ryb),0.83
2025-03-17 12:45:21,Scarlet (Crayola),0.83
2025-03-17 12:45:21,Scarlet (Crayola),0.85
2025-03-17 12:45:21,Scarlet (Crayola),0.83
2025-03-17 12:45:21,Scarlet (Crayola),0.83
2025-03-17 12:45:21,Red (Ryb),0.85
2025-03-17 12:45:22,Scarlet (Crayola),0.82
2025-03-17 12:45:22,Scarlet (Crayola),0.80
2025-03-17 12:45:22,Scarlet (Crayola),0.83
2025-03-17 12:45:22,Scarlet (Crayola),0.82
2025-03-17 12:45:22,Scarlet (Crayola),0.83
2025-03-17 12:45:22,Scarlet (Crayola),0.83
2025-03-17 12:45:22,Scarlet (Crayola),0.86
2025-03-17 12:45:22,Scarlet (Crayola),0.82
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:22,Scarlet (Crayola),0.88
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:22,Ruddy,0.86
2025-03-17 12:45:22,Ruddy,0.86
2025-03-17 12:45:22,Scarlet (Crayola),0.88
2025-03-17 12:45:22,Ruddy,0.86
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:22,Ruddy,0.85
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:22,Ruddy,0.86
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:22,Ruddy,0.87
2025-03-17 12:45:23,Ruddy,0.85
2025-03-17 12:45:23,Ruddy,0.85
2025-03-17 12:45:23,Scarlet (Crayola),0.87
2025-03-17 12:45:23,Ruddy,0.85
2025-03-17 12:45:23,Ruddy,0.87
2025-03-17 12:45:23,Ruddy,0.87
2025-03-17 12:45:23,Ruddy,0.87
2025-03-17 12:45:23,Ruddy,0.87
2025-03-17 12:45:23,Ruddy,0.86
2025-03-17 12:45:23,Ruddy,0.85
2025-03-17 12:45:23,Ruddy,0.83
2025-03-17 12:45:23,Ruddy,0.83
2025-03-17 12:45:23,Ruddy,0.83
2025-03-17 12:45:23,Candy Apple Red,0.84
2025-03-17 12:45:23,Candy Apple Red,0.87
2025-03-17 12:45:23,Candy Apple Red,0.86
2025-03-17 12:45:23,Candy Apple Red,0.87
2025-03-17 12:45:23,Candy Apple Red,0.82
2025-03-17 12:45:23,Candy Apple Red,0.82
2025-03-17 12:45:23,Candy Apple Red,0.83
2025-03-17 12:45:23,Candy Apple Red,0.81
2025-03-17 12:45:23,Candy Apple Red,0.84
2025-03-17 12:45:23,Candy Apple Red,0.84
2025-03-17 12:45:23,Candy Apple Red,0.84
2025-03-17 12:45:23,Candy Apple Red,0.85
2025-03-17 12:45:23,Candy Apple Red,0.84
2025-03-17 12:45:23,Candy Apple Red,0.84
2025-03-17 12:45:23,Candy Apple Red,0.83
2025-03-17 12:45:23,Candy Apple Red,0.83
2025-03-17 12:45:23,Ruddy,0.83
2025-03-17 12:45:23,Ruddy,0.82
2025-03-17 12:45:24,Ruddy,0.82
2025-03-17 12:45:24,Red (Ryb),0.81
2025-03-17 12:45:24,Red (Ryb),0.81
2025-03-17 12:45:24,Red (Ryb),0.82
2025-03-17 12:45:24,Ruddy,0.83
2025-03-17 12:45:24,Red (Ryb),0.82
2025-03-17 12:45:24,Red (Ryb),0.82
2025-03-17 12:45:24,Ruddy,0.82
2025-03-17 12:45:24,Ruddy,0.82
2025-03-17 12:45:24,Red (Ryb),0.82
2025-03-17 12:45:24,Scarlet (Crayola),0.82
