Timestamp,R,G,B,Detected Color
2025-03-17 12:48:14,255,21,25,Blue (Ryb)
2025-03-17 12:48:14,255,20,24,Blue (Ryb)
2025-03-17 12:48:14,255,19,28,Blue (Ryb)
2025-03-17 12:48:14,255,21,29,Blue (Ryb)
2025-03-17 12:48:14,255,19,28,Blue (Ryb)
2025-03-17 12:48:14,255,21,29,Blue (Ryb)
2025-03-17 12:48:14,255,20,33,Tractor Red
2025-03-17 12:48:14,255,20,31,Ruddy
2025-03-17 12:48:14,255,21,27,Blue (Ryb)
2025-03-17 12:48:14,255,22,21,Blue (Ryb)
2025-03-17 12:48:14,255,23,34,Tractor Red
2025-03-17 12:48:14,255,21,27,Blue (Ryb)
2025-03-17 12:48:14,255,21,23,Blue (Ryb)
2025-03-17 12:48:14,255,23,32,Blue (Ryb)
2025-03-17 12:48:14,255,21,29,Blue (Ryb)
2025-03-17 12:48:14,255,21,29,Blue (Ryb)
2025-03-17 12:48:14,255,23,32,Blue (Ryb)
2025-03-17 12:48:14,255,24,33,Blue (Ryb)
2025-03-17 12:48:14,255,24,33,Blue (Ryb)
2025-03-17 12:48:14,255,30,34,Blue (Ryb)
2025-03-17 12:48:14,255,21,29,Blue (Ryb)
2025-03-17 12:48:15,255,23,34,Tractor Red
2025-03-17 12:48:15,255,23,27,Blue (Ryb)
2025-03-17 12:48:15,255,24,23,Blue (Ryb)
2025-03-17 12:48:15,255,29,24,Blue (Ryb)
2025-03-17 12:48:15,255,35,31,Blue (Ryb)
2025-03-17 12:48:15,255,33,25,Blue (Ryb)
2025-03-17 12:48:15,255,33,19,Blue (Ryb)
2025-03-17 12:48:15,255,24,31,Blue (Ryb)
2025-03-17 12:48:15,255,24,31,Blue (Ryb)
2025-03-17 12:48:15,255,35,25,Blue (Ryb)
2025-03-17 12:48:15,255,35,25,Blue (Ryb)
2025-03-17 12:48:15,255,39,36,Blue (Ryb)
2025-03-17 12:48:15,255,30,25,Blue (Ryb)
2025-03-17 12:48:15,255,28,20,Blue (Ryb)
2025-03-17 12:48:15,255,32,31,Blue (Ryb)
2025-03-17 12:48:15,255,35,29,Blue (Ryb)
2025-03-17 12:48:15,255,29,19,Blue (Ryb)
2025-03-17 12:48:15,255,21,25,Blue (Ryb)
2025-03-17 12:48:15,255,21,29,Blue (Ryb)
2025-03-17 12:48:15,255,21,29,Blue (Ryb)
2025-03-17 12:48:15,255,19,28,Blue (Ryb)
2025-03-17 12:48:15,255,21,27,Blue (Ryb)
2025-03-17 12:48:15,255,21,25,Blue (Ryb)
2025-03-17 12:48:15,255,20,31,Ruddy
2025-03-17 12:48:15,255,20,31,Ruddy
2025-03-17 12:48:15,255,20,33,Tractor Red
2025-03-17 12:48:15,255,21,25,Blue (Ryb)
2025-03-17 12:48:15,255,20,31,Ruddy
2025-03-17 12:48:15,255,19,28,Blue (Ryb)
2025-03-17 12:48:15,255,19,28,Blue (Ryb)
2025-03-17 12:48:15,255,21,29,Blue (Ryb)
2025-03-17 12:48:16,255,23,36,Tractor Red
2025-03-17 12:48:16,255,20,31,Ruddy
2025-03-17 12:48:16,255,20,26,Blue (Ryb)
2025-03-17 12:48:16,255,20,31,Ruddy
2025-03-17 12:48:16,255,20,31,Ruddy
2025-03-17 12:48:16,255,20,31,Ruddy
2025-03-17 12:48:16,255,21,29,Blue (Ryb)
2025-03-17 12:48:16,255,21,29,Blue (Ryb)
2025-03-17 12:48:16,255,21,29,Blue (Ryb)
2025-03-17 12:48:16,255,21,29,Blue (Ryb)
2025-03-17 12:48:16,255,21,29,Blue (Ryb)
2025-03-17 12:48:16,255,20,31,Ruddy
2025-03-17 12:48:16,255,21,25,Blue (Ryb)
2025-03-17 12:48:16,255,21,29,Blue (Ryb)
2025-03-17 12:48:16,255,20,22,Blue (Ryb)
2025-03-17 12:48:16,255,21,23,Blue (Ryb)
2025-03-17 12:48:16,255,16,9,Candy Apple Red
2025-03-17 12:48:16,255,11,3,Candy Apple Red
2025-03-17 12:48:16,255,6,6,Candy Apple Red
2025-03-17 12:48:16,255,6,6,Candy Apple Red
2025-03-17 12:48:16,255,4,1,Candy Apple Red
2025-03-17 12:48:16,255,6,7,Candy Apple Red
2025-03-17 12:48:16,255,3,0,Red (Ryb)
2025-03-17 12:48:16,255,5,2,Candy Apple Red
2025-03-17 12:48:16,255,6,6,Candy Apple Red
2025-03-17 12:48:16,255,6,0,Candy Apple Red
2025-03-17 12:48:16,255,9,6,Candy Apple Red
2025-03-17 12:48:16,255,11,1,Candy Apple Red
2025-03-17 12:48:16,255,22,21,Blue (Ryb)
